nome_escola,A,B,C,D,E,F,total_exames,total_alunos,ANO,Latitude,Longitude,coordenadas,longUTM,LatUTM
EM Pedro Furquim,209,83,73,1,79,85,530,589,2005,"-22,12320378","-51,37495963","-51.37495963, -22.12320378",461329,7553488
EM Rosana Negrão,111,13,0,21,29,1,175,210,2005,"-22,08331327","-51,43151345","-51.43151345, -22.08331327",455484,7557888
EM Rosy Odethy R. Brandão,166,49,0,1,59,2,277,304,2005,"-22,09506859","-51,40325912","-51.40325912, -22.09506859",458402,7556595
EM Rot. Antônio Zacarias - Rotariano,34,45,0,20,81,38,218,210,2005,"-22,12341692","-51,42356793","-51.423567928459306, -22.123416918139267",456316,7553451
EM Rui Carlos V. Berbet,69,65,8,93,204,92,531,714,2005,"-22,08600556","-51,38078723","-51.38078723, -22.08600556",460718,7557604
EM Valter Marques,105,5,0,0,17,0,127,138,2005,"-22,10436741","-51,38852207","-51.38852207264139, -22.10436741481833",459925,7555569
EM Vilma Álvares Gonçalves,166,33,0,58,63,5,325,491,2005,"-22,1485129","-51,37363456","-51.37363456, -22.1485129",461473,7550687
Colégio Cristo Rei,304,17,1,29,19,0,370,0,2006,"-22,1197155","-51,38882519","-51.38882518798648, -22.11971549619148",459898,7553870
Creche Anita Ferreira B. de Oliveira,90,1,0,15,11,0,117,0,2006,"-22,12931948","-51,39093791","-51.3909379079446, -22.1293194767267",459683,7552807
Creche C. S. Vicente Palotti – Lar dos Meninos,87,2,0,35,16,1,141,0,2006,"-22,09893604","-51,42313062","-51.42313061703766, -22.098936040183247",456354,7556161
Creche Clotilde Veiga de Barros,83,2,2,15,9,0,111,0,2006,"-22,10980342","-51,39429739","-51.3942973891786, -22.1098034221683",459331,7554966
Creche Meimei,59,0,0,24,16,0,99,0,2006,"-22,12970947","-51,41285799","-51.4128579891779, -22.129709471891232",457423,7552758
Creche UNESP,31,0,0,8,10,0,49,0,2006,"-22,11886076","-51,4092135","-51.409213504521, -22.1188607558322",457795,7553959
Creche Walter Figueiredo,62,3,0,31,14,3,113,0,2006,"-22,10895326","-51,38626791","-51.3862679124659, -22.1089532609603",460159,7555062
EE A. Arruda Mello,234,185,18,29,58,8,532,0,2006,"-22,12223576","-51,38954147","-51.389541472641135, -22.122235760751867",459825,7553591
EE Antônio Fioravante de Menezes,27,99,213,33,11,9,392,504,2006,"-22,12970947","-51,3827848","-51.3827848045204, -22.1297094718912",460524,7552766
EE Arlindo Fantini,86,57,0,53,50,2,248,786,2006,"-22,10912648","-51,41076015","-51.41076014685, -22.1091264813455",457633,7555037
EE Fátima Ap. Costa Falcon,68,70,5,15,100,3,261,478,2006,"-22,11761457","-51,43414793","-51.43414793335647, -22.11761457194364",455223,7554090
EE Fernando Costa,309,153,369,0,75,0,906,1284,2006,"-22,12019229","-51,3873924","-51.3873923952734, -22.1201922926299",460046,7553818
EE Florivaldo Leal,258,50,4,10,19,1,342,741,2006,"-22,12919703","-51,39326659","-51.3932665939704, -22.1291970251408",459443,7552820
EE Francisco Pessoa,246,182,296,14,1,18,757,1358,2006,"-22,15301289","-51,45192393","-51.4519239278068, -22.1530128905198",453401,7550167
EE João Alfredo da Silva (Eneida),34,38,2,1,17,1,93,102,2006,"-21,91387708","-51,30195046","-51.30195046100961, -21.91387708270785",468813,7576674
EE Joel Antônio de Lima Genésio,170,1,0,0,68,3,242,392,2006,"-22,11444383","-51,42615186","-51.42615185849335, -22.11444383299049",456047,7554444
EE José Foz,202,128,0,164,72,12,578,472,2006,"-22,12208117","-51,37673732","-51.37673732041002, -22.12208117264124",461146,7553612
EE Maria Luiza Bastos,250,68,0,35,21,2,376,625,2006,"-22,13214161","-51,40524606","-51.40524605903943, -22.13214160526277",458208,7552491
EE Maria Luiza Formozinho Ribeiro,254,106,0,24,85,5,474,916,2006,"-22,12205514","-51,39966794","-51.39966793575265, -22.12205514355007",458781,7553609
EE Marieta Ferraz de Assunção,118,90,0,164,32,9,413,670,2006,"-22,13826568","-51,38899915","-51.38899915479362, -22.13826568169748",459886,7551817
EE Marrey Junior,130,158,66,171,90,43,658,1093,2006,"-22,10681416","-51,39622964","-51.39622963760267, -22.10681415866147",459131,7555296
EE Miguel Omar Bareto,277,112,9,19,30,3,450,697,2006,"-22,13297741","-51,437803","-51.43780300136813, -22.13297740614673",454851,7552389
EE Mirella P. Desidere,206,129,11,55,86,13,500,1361,2006,"-22,1103463","-51,4287836","-51.42878359712329, -22.11034630426748",455774,7554896
EE Monsenhor Sarrion,104,41,0,93,22,1,261,1154,2006,"-22,13369718","-51,39093009","-51.39093008972468, -22.13369717779597",459685,7552322
EE Placídio Braga Nogueira,257,250,80,18,201,57,863,1010,2006,"-22,13864919","-51,37491486","-51.37491485903934, -22.13864918512999",461338,7551778
EE Tannel Abud,159,106,14,156,52,39,526,1045,2006,"-22,11460143","-51,37609601","-51.37609600506788, -22.11460142859055",461210,7554440
EM Alayde T. F. Motta,124,111,39,80,26,173,553,737,2006,"-22,14473417","-51,38256092","-51.38256091616356, -22.14473416973062",460551,7551103
EM Antonio Moreira Lima,162,57,0,36,139,29,423,513,2006,"-22,16016961","-51,45548561","-51.45548561137047, -22.16016960807991",453037,7549373
EM Aparecida Alves,117,10,4,26,63,3,223,274,2006,"-22,14361969","-51,39497096","-51.39497095849231, -22.14361969237946",459271,7551223
EM Aziz Felipe,95,9,2,49,38,6,199,340,2006,"-22,13422737","-51,3772764","-51.3772763958197, -22.13422737453585",461093,7552267
EM Carlos A. A. Campos (Eneida),23,5,0,0,3,0,31,71,2006,"-21,91682868","-51,3019639","-51.30196390452799, -21.91682867862754",468812,7576348
EM Carlos Braga (Ameliópolis),31,43,1,2,5,1,83,0,2006,"-21,80226704","-51,29735029","-51.29735028788697, -21.80226703609472",469264,7589029
EM Carlos Castilho Cabral,144,49,0,0,109,14,316,379,2006,"-22,09901054","-51,39297155","-51.39297155109593, -22.09901054208509",459465,7556161
EM Carmem Pereira Delfim,118,57,16,10,87,43,331,447,2006,"-22,13491679","-51,38146344","-51.38146344184742, -22.13491678924642",460662,7552190
EM Catarina Martins Artero,44,30,36,17,61,55,243,0,2006,"-22,1101911","-51,38068432","-51.38068432225982, -22.11019110237303",460735,7554927
EM Ditão,241,22,16,5,193,6,483,609,2006,"-22,10844038","-51,43157964","-51.43157963945204, -22.10844038037896",455485,7555107
EM Domingos F. de Medeiros,183,65,9,2,131,7,397,414,2006,"-22,1050689","-51,3892446","-51.38924460397457, -22.10506889832062",459851,7555491
EM Ederle Marangoni Dias,123,15,0,51,33,2,224,285,2006,"-22,10983998","-51,41971103","-51.41971103335685, -22.10983998169054",456710,7554955
EM Edna Carnelós Barbosa,39,0,0,58,17,0,114,141,2006,"-22,13865497","-51,38462796","-51.3846279645877, -22.13865497431422",460336,7551775
EM Edson Lopes,43,0,0,45,3,0,91,124,2006,"-22,14321923","-51,3936022","-51.39360220147683, -22.143219229454",459412,7551268
EM Emilio Becker,284,133,82,0,65,1,565,604,2006,"-22,12770858","-51,377025","-51.37702499766941, -22.12770857779658",461117,7552989
EM Francisca A. Góes Brandão,180,53,64,55,7,6,365,0,2006,"-22,13354296","-51,39984915","-51.39984915164156, -22.13354295954356",458765,7552337
EM Giseli Dalefi,203,64,4,124,200,25,620,782,2006,"-22,12946427","-51,44598922","-51.44598922040981, -22.12946427152818",454006,7552775
EM Ivo Garrido,104,18,0,14,56,13,205,0,2006,"-22,10222191","-51,43296095","-51.43296095109594, -22.10222191202309",455341,7555794
EM João Bohac,132,13,12,0,73,30,260,267,2006,"-22,14261288","-51,38408509","-51.38408509342323, -22.14261287878046",460393,7551337
EM João Franco de Godoy,234,87,0,0,151,0,472,548,2006,"-22,11324649","-51,39544043","-51.39544042835509, -22.1132464852897",459214,7554585
EM João Sebastião Lisboa,127,75,8,172,111,39,532,0,2006,"-22,12213719","-51,39951685","-51.39951685164191, -22.12213719468566",458796,7553599
EM José Carlos João,149,67,6,127,173,28,550,0,2006,"-22,14243888","-51,39100198","-51.39100198417588, -22.14243887858406",459680,7551355
EM José Carlos Pimenta,172,67,89,60,17,5,410,382,2006,"-22,11462692","-51,40558757","-51.40558757449566, -22.11462692157064",458168,7554429
EM José Soares Marcondes,259,75,6,113,92,30,575,0,2006,"-22,11933127","-51,38298954","-51.38298954369755, -22.11933127012247",460500,7553914
EM Jovita Terin,98,14,8,63,71,11,265,346,2006,"-22,08693107","-51,38393579","-51.38393578993529, -22.08693107237039",460393,7557501
EM Juracy Menezes Peralta,191,39,1,41,214,41,527,625,2006,"-22,08627167","-51,39632847","-51.39632847068484, -22.0862716737455",459115,7557570
EM Karina Krasucki,361,15,7,70,63,8,524,550,2006,"-22,15950528","-51,45422221","-51.4542222130108, -22.1595052797793",453167,7549447
EM Maria do Socorro B. Almeida,163,41,5,19,56,14,298,520,2006,"-22,11417447","-51,43143416","-51.43143416, -22.11417447",455502,7554472
EM Maria Edite T. Perrone,7,0,0,15,4,0,26,233,2006,"-22,15396427","-51,38158887","-51.38158887, -22.15396427",460654,7550081
EM Maria Haddad Haidamus,31,3,0,59,21,0,114,145,2006,"-22,11815423","-51,37419753","-51.37419753, -22.11815423",461406,7554047
EM Nair Lebrão,64,0,0,67,20,1,152,160,2006,"-22,11241179","-51,4316003","-51.4316003, -22.11241179",455484,7554667
EM Nazarena Zamit,103,5,1,129,72,1,311,480,2006,"-22,13891023","-51,37550388","-51.37550388, -22.13891023",461277,7551749
EM Nirma Jorge,50,14,4,2,17,2,89,0,2006,"-22,08290807","-51,42601293","-51.42601292846014, -22.08290806964687",456051,7557934
EM Ocyr Azevedo,153,58,1,27,64,3,306,412,2006,"-22,10965964","-51,41226432","-51.41226432, -22.10965964",457478,7554977
EM Pedro Furquim,195,84,93,12,117,19,520,535,2006,"-22,12320378","-51,37495963","-51.37495963, -22.12320378",461329,7553488
EM Rosana Negrão,62,17,0,78,39,4,200,225,2006,"-22,08331327","-51,43151345","-51.43151345, -22.08331327",455484,7557888
EM Rosy Odethy R. Brandão,150,45,4,28,53,0,280,321,2006,"-22,09506859","-51,40325912","-51.40325912, -22.09506859",458402,7556595
EM Rot. Antônio Zacarias - Rotariano,30,30,0,39,85,57,241,255,2006,"-22,12341692","-51,42356793","-51.423567928459306, -22.123416918139267",456316,7553451
EM Rui Carlos V. Berbet,115,47,242,33,28,91,556,704,2006,"-22,08600556","-51,38078723","-51.38078723, -22.08600556",460718,7557604
EM Valter Marques,60,1,0,22,16,0,99,123,2006,"-22,10436741","-51,38852207","-51.38852207264139, -22.10436741481833",459925,7555569
EM Vilma G. Martinez (Cedral),239,32,0,0,81,0,352,424,2006,"-22,1193264","-51,42795136","-51.42795136, -22.1193264",455863,7553903
Colégio Cristo Rei,328,7,0,8,10,0,353,0,2007,"-22,1197155","-51,38882519","-51.38882518798648, -22.11971549619148",459898,7553870
Creche Anita Ferreira B. de Oliveira,83,2,0,17,6,0,108,0,2007,"-22,12931948","-51,39093791","-51.3909379079446, -22.1293194767267",459683,7552807
Creche C. S. Vicente Palotti – Lar dos Meninos,76,3,0,29,28,0,136,0,2007,"-22,09893604","-51,42313062","-51.42313061703766, -22.098936040183247",456354,7556161
Creche Clotilde Veiga de Barros,87,2,0,16,11,0,116,0,2007,"-22,10980342","-51,39429739","-51.3942973891786, -22.1098034221683",459331,7554966
Creche Meimei,67,5,0,26,22,0,120,0,2007,"-22,12970947","-51,41285799","-51.4128579891779, -22.129709471891232",457423,7552758
Creche UNESP,44,0,0,15,6,0,65,0,2007,"-22,11886076","-51,4092135","-51.409213504521, -22.1188607558322",457795,7553959
Creche Walter Figueiredo,79,3,2,30,12,0,126,0,2007,"-22,10895326","-51,38626791","-51.3862679124659, -22.1089532609603",460159,7555062
EE A. Arruda Mello,157,124,11,31,50,11,384,0,2007,"-22,12223576","-51,38954147","-51.389541472641135, -22.122235760751867",459825,7553591
EE Anna Antônio,236,92,13,45,37,1,424,756,2007,"-22,0910867","-51,38581814","-51.3858181413021, -22.0910867030776",460200,7557040
EE Antônio Fioravante de Menezes,63,130,186,23,3,7,412,500,2007,"-22,12970947","-51,3827848","-51.3827848045204, -22.1297094718912",460524,7552766
EE Arlindo Fantini,148,62,0,145,30,1,386,651,2007,"-22,10912648","-51,41076015","-51.41076014685, -22.1091264813455",457633,7555037
EE Celestina M. Teixeira,46,36,0,42,47,12,183,318,2007,"-21,95928647","-51,30795348","-51.30795347820825, -21.95928646996887",468203,7571647
EE Fernando Costa,359,59,418,0,89,0,925,1287,2007,"-22,12019229","-51,3873924","-51.3873923952734, -22.1201922926299",460046,7553818
EE João Alfredo da Silva (Eneida),19,17,1,37,10,0,84,95,2007,"-21,91387708","-51,30195046","-51.30195046100961, -21.91387708270785",468813,7576674
EE Joel Antônio de Lima Genésio,205,34,0,0,78,0,317,415,2007,"-22,11444383","-51,42615186","-51.42615185849335, -22.11444383299049",456047,7554444
EE José Foz,56,81,1,95,26,1,260,504,2007,"-22,12208117","-51,37673732","-51.37673732041002, -22.12208117264124",461146,7553612
EE Maria Luiza Bastos,79,34,0,204,36,1,354,586,2007,"-22,13214161","-51,40524606","-51.40524605903943, -22.13214160526277",458208,7552491
EE Maria Luiza Formozinho Ribeiro,234,90,0,46,25,14,409,894,2007,"-22,12205514","-51,39966794","-51.39966793575265, -22.12205514355007",458781,7553609
EE Marieta Ferraz de Assunção,74,148,0,123,41,1,387,651,2007,"-22,13826568","-51,38899915","-51.38899915479362, -22.13826568169748",459886,7551817
EE Marrey Junior,162,190,62,102,37,38,591,944,2007,"-22,10681416","-51,39622964","-51.39622963760267, -22.10681415866147",459131,7555296
EE Miguel Omar Bareto,327,49,3,19,14,0,412,672,2007,"-22,13297741","-51,437803","-51.43780300136813, -22.13297740614673",454851,7552389
EE Mirella P. Desidere,183,57,5,30,25,8,308,1375,2007,"-22,1103463","-51,4287836","-51.42878359712329, -22.11034630426748",455774,7554896
EE Monsenhor Sarrion,115,116,0,201,13,0,445,1458,2007,"-22,13369718","-51,39093009","-51.39093008972468, -22.13369717779597",459685,7552322
EE Pedro Tofano –Montalvão,122,65,10,39,59,5,300,446,2007,"-22,0511197","-51,34701711","-51.34701710876899, -22.0511197037584",464193,7561474
EE Placídio Braga Nogueira,0,230,136,61,540,128,1095,1001,2007,"-22,13864919","-51,37491486","-51.37491485903934, -22.13864918512999",461338,7551778
EE Tannel Abud,158,114,19,159,51,41,542,1011,2007,"-22,11460143","-51,37609601","-51.37609600506788, -22.11460142859055",461210,7554440
EM Alayde T. F. Motta,33,153,29,136,26,119,496,604,2007,"-22,14473417","-51,38256092","-51.38256091616356, -22.14473416973062",460551,7551103
EM Alberto Bernardes Sotelo,7,0,0,10,2,1,20,76,2007,"-22,13978827","-51,35372317","-51.35372316886564, -22.13978827470154",463524,7551657
EM Antonio Moreira Lima,176,22,0,41,50,122,411,465,2007,"-22,16016961","-51,45548561","-51.45548561137047, -22.16016960807991",453037,7549373
EM Aparecida Alves,78,2,5,55,64,4,208,268,2007,"-22,14361969","-51,39497096","-51.39497095849231, -22.14361969237946",459271,7551223
EM Aziz Felipe,72,14,0,109,18,3,216,321,2007,"-22,13422737","-51,3772764","-51.3772763958197, -22.13422737453585",461093,7552267
EM Carlo Ceriani,93,4,0,34,22,23,176,219,2007,"-22,09104298","-51,40282719","-51.40282718863248, -22.09104297945366",458446,7557040
EM Carlos A. A. Campos (Eneida),14,3,0,11,8,1,37,65,2007,"-21,91682868","-51,3019639","-51.30196390452799, -21.91682867862754",468812,7576348
EM Carlos Castilho Cabral,145,28,6,0,123,19,321,351,2007,"-22,09901054","-51,39297155","-51.39297155109593, -22.09901054208509",459465,7556161
EM Carmem Pereira Delfim,99,34,39,4,113,71,360,405,2007,"-22,13491679","-51,38146344","-51.38146344184742, -22.13491678924642",460662,7552190
EM Catarina Martins Artero,75,52,15,14,89,7,252,0,2007,"-22,1101911","-51,38068432","-51.38068432225982, -22.11019110237303",460735,7554927
EM Ditão,249,24,27,18,199,1,518,616,2007,"-22,10844038","-51,43157964","-51.43157963945204, -22.10844038037896",455485,7555107
EM Ederle Marangoni Dias,161,12,0,152,35,2,362,331,2007,"-22,10983998","-51,41971103","-51.41971103335685, -22.10983998169054",456710,7554955
EM Edna Carnelós Barbosa,28,0,0,45,11,4,88,146,2007,"-22,13865497","-51,38462796","-51.3846279645877, -22.13865497431422",460336,7551775
EM Edson Lopes,25,0,0,48,9,1,83,128,2007,"-22,14321923","-51,3936022","-51.39360220147683, -22.143219229454",459412,7551268
EM Ettore Marangoni,32,3,0,48,18,2,103,151,2007,"-22,05108147","-51,34593889","-51.34593888602856, -22.05108146789168",464304,7561478
EM Francisca A. Góes Brandão,98,63,80,84,19,2,346,0,2007,"-22,13354296","-51,39984915","-51.39984915164156, -22.13354295954356",458765,7552337
EM Giseli Dalefi,219,47,0,124,238,15,643,822,2007,"-22,12946427","-51,44598922","-51.44598922040981, -22.12946427152818",454006,7552775
EM Ivo Garrido,81,13,0,21,28,37,180,0,2007,"-22,10222191","-51,43296095","-51.43296095109594, -22.10222191202309",455341,7555794
EM João Bohac,202,44,5,12,67,15,345,268,2007,"-22,14261288","-51,38408509","-51.38408509342323, -22.14261287878046",460393,7551337
EM João Franco de Godoy,214,51,180,10,10,11,476,555,2007,"-22,11324649","-51,39544043","-51.39544042835509, -22.1132464852897",459214,7554585
EM João Sebastião Lisboa,159,53,26,138,111,23,510,0,2007,"-22,12213719","-51,39951685","-51.39951685164191, -22.12213719468566",458796,7553599
EM José Carlos João,121,67,2,174,156,17,537,0,2007,"-22,14243888","-51,39100198","-51.39100198417588, -22.14243887858406",459680,7551355
EM José Carlos Pimenta,167,99,73,38,18,15,410,351,2007,"-22,11462692","-51,40558757","-51.40558757449566, -22.11462692157064",458168,7554429
EM Jovita Terin,145,4,6,39,29,1,224,275,2007,"-22,08693107","-51,38393579","-51.38393578993529, -22.08693107237039",460393,7557501
EM Juracy Menezes Peralta,162,30,0,44,87,179,502,583,2007,"-22,08627167","-51,39632847","-51.39632847068484, -22.0862716737455",459115,7557570
