nome_escola,A,B,C,D,E,F,total_exames,total_alunos,ANO,Latitude,Longitude,coordenadas,longUTM,LatUTM
EM Domingos F. de Medeiros,107,84,0,18,80,0,289,303,2011,"-22,1050689","-51,3892446","-51.38924460397457, -22.10506889832062",459851,7555491
EM Ederle Marangoni Dias,171,2,0,18,32,0,227,276,2011,"-22,10983998","-51,41971103","-51.41971103335685, -22.10983998169054",456710,7554955
EM Edna Carnelós Barbosa,66,1,0,13,5,0,88,118,2011,"-22,13865497","-51,38462796","-51.3846279645877, -22.13865497431422",460336,7551775
EM Edson Lopes,31,0,0,49,7,3,101,128,2011,"-22,14321923","-51,3936022","-51.39360220147683, -22.143219229454",459412,7551268
EM Eluísa R. Rodrigues,163,14,14,4,89,0,284,268,2011,"-22,11928173","-51,3870863","-51.38708629701948, -22.11928173266724",460077,7553919
EM Emilio Becker,119,66,51,63,41,7,347,366,2011,"-22,12770858","-51,377025","-51.37702499766941, -22.12770857779658",461117,7552989
EM Ettore Marangoni,58,7,2,5,11,0,83,288,2011,"-22,05108147","-51,34593889","-51.34593888602856, -22.05108146789168",464304,7561478
EM Francisca A. Góes Brandão,137,50,51,40,18,4,300,299,2011,"-22,13354296","-51,39984915","-51.39984915164156, -22.13354295954356",458765,7552337
EM Giseli Dalefi,127,40,19,150,208,31,575,742,2011,"-22,12946427","-51,44598922","-51.44598922040981, -22.12946427152818",454006,7552775
EM Ivo Garrido,44,6,2,57,52,11,172,224,2011,"-22,10222191","-51,43296095","-51.43296095109594, -22.10222191202309",455341,7555794
EM João Bohac,118,14,9,24,41,16,222,236,2011,"-22,14261288","-51,38408509","-51.38408509342323, -22.14261287878046",460393,7551337
EM João Franco de Godoy,164,86,32,80,79,17,458,565,2011,"-22,11324649","-51,39544043","-51.39544042835509, -22.1132464852897",459214,7554585
EM João Sebastião Lisboa,139,35,7,91,63,21,356,341,2011,"-22,12213719","-51,39951685","-51.39951685164191, -22.12213719468566",458796,7553599
EM José Carlos João,237,86,0,17,67,2,409,491,2011,"-22,14243888","-51,39100198","-51.39100198417588, -22.14243887858406",459680,7551355
EM José Soares Marcondes,316,76,63,65,103,1,624,642,2011,"-22,11933127","-51,38298954","-51.38298954369755, -22.11933127012247",460500,7553914
EM Jovita Terin,63,2,4,80,39,5,195,264,2011,"-22,08693107","-51,38393579","-51.38393578993529, -22.08693107237039",460393,7557501
EM Juracy Menezes Peralta,119,36,95,28,53,42,373,440,2011,"-22,08627167","-51,39632847","-51.39632847068484, -22.0862716737455",459115,7557570
EM Karina Krasucki,311,6,3,12,37,2,380,511,2011,"-22,15950528","-51,45422221","-51.4542222130108, -22.1595052797793",453167,7549447
EM Krisan Martin,77,2,2,20,12,0,115,144,2011,"-22,12864525","-51,44684507","-51.44684507, -22.12864525",453917,7552866
EM Maria do Socorro B. Almeida,212,46,4,45,105,13,425,502,2011,"-22,11417447","-51,43143416","-51.43143416, -22.11417447",455502,7554472
EM Maria Edite T. Perrone,29,1,1,6,8,0,47,57,2011,"-22,15396427","-51,38158887","-51.38158887, -22.15396427",460654,7550081
EM Maria Haddad Haidamus,55,3,3,57,13,4,136,178,2011,"-22,11815423","-51,37419753","-51.37419753, -22.11815423",461406,7554047
EM Maria Isabel B. Negrão,21,10,4,90,34,16,175,186,2011,"-22,15900351","-51,45243652","-51.45243652, -22.15900351",453351,7549503
EM Nair Lebrão,97,0,5,9,5,0,119,171,2011,"-22,11241179","-51,4316003","-51.4316003, -22.11241179",455484,7554667
EM Nazarena Zamit,195,5,110,9,46,3,368,582,2011,"-22,13891023","-51,37550388","-51.37550388, -22.13891023",461277,7551749
EM Ocyr Azevedo,51,14,0,68,63,32,228,327,2011,"-22,10965964","-51,41226432","-51.41226432, -22.10965964",457478,7554977
EM Odette Duarte da Costa,83,14,46,34,25,29,231,381,2011,"-22,0768845","-51,36046337","-51.36046337, -22.0768845",462812,7558619
EM Pedro Furquim,94,21,5,88,105,57,370,512,2011,"-22,12320378","-51,37495963","-51.37495963, -22.12320378",461329,7553488
EM Rosana Negrão,118,16,6,54,33,2,229,275,2011,"-22,08331327","-51,43151345","-51.43151345, -22.08331327",455484,7557888
EM Rosy Odethy R. Brandão,131,11,1,39,37,10,229,283,2011,"-22,09506859","-51,40325912","-51.40325912, -22.09506859",458402,7556595
EM Rot. Antônio Zacarias - Rotariano,97,53,0,50,98,17,315,346,2011,"-22,12341692","-51,42356793","-51.423567928459306, -22.123416918139267",456316,7553451
EM Rui Carlos V. Berbet,173,23,14,70,121,18,419,529,2011,"-22,08600556","-51,38078723","-51.38078723, -22.08600556",460718,7557604
EM Valter Marques,63,0,0,22,5,2,94,111,2011,"-22,10436741","-51,38852207","-51.38852207264139, -22.10436741481833",459925,7555569
EM Vilma Álvares Gonçalves,164,40,12,72,89,4,381,428,2011,"-22,1485129","-51,37363456","-51.37363456, -22.1485129",461473,7550687
EM Vilma G. Martinez (Cedral),149,6,0,10,26,0,191,252,2011,"-22,1193264","-51,42795136","-51.42795136, -22.1193264",455863,7553903
EM Vovó Silvéria,30,3,2,34,12,0,90,119,2011,"-22,08917001","-51,41278468","-51.41278468, -22.08917001",457418,7557245
Creche Anita Ferreira B. de Oliveira,49,0,0,27,1,2,80,0,2012,"-22,12931948","-51,39093791","-51.3909379079446, -22.1293194767267",459683,7552807
Creche C. S. Vicente Palotti – Lar dos Meninos,150,1,2,34,15,0,209,0,2012,"-22,09893604","-51,42313062","-51.42313061703766, -22.098936040183247",456354,7556161
Creche Clotilde Veiga de Barros,72,1,0,30,12,2,120,147,2012,"-22,10980342","-51,39429739","-51.3942973891786, -22.1098034221683",459331,7554966
Creche Meimei,69,0,0,23,9,0,102,0,2012,"-22,12970947","-51,41285799","-51.4128579891779, -22.129709471891232",457423,7552758
